Provider Name,Address,City,Zipcode,Doses,Phone Number
Dewitt Family Practice 3020 Garrett Dr,,Perryton,,100,
Perryton Health Center 3101 Garrett Dr,,Perryton,,100,
Family Care Clinic Of Boys Ranch 74 Patterson Circle,,Boys Ranch,,200,
Best Value Waddy Pharmacy 106 Sw 6th Ave,,Mineral Wells,,100,
DSHS Mineral Wells 4113 Highway 180 E,,Mineral Wells,,100,
Hope Community Medicine-Carthage 820 West Panola St.,,Carthage,,100,
Brookshires Pharmacy 8 - Carthage 412 W Panola St,,Carthage,,100,
Friona Rural Health Clinic 1307 Cleveland Ave Ste B,,Friona,,200,
PECOS COUNTY MEMORIAL HOSPITAL DBA FAMILY CARE CEN387 W IH 10,,Fort Stockton,,300,
Iraan Rural Health Clinic 600 Hwy 349 North,,Iraan,,300,
Texas Department of Criminal Justice Polunsky 3872 FM 350 South,,Livingston,,100,
Fresenius Kidney Care 5920 Amarillo Blvd W,,Amarillo,,100,
Dshs Marfa 205 E El Paso St,,Marfa,,500,
Brookshires Pharmacy 4 959 East Us Hwy 69,,Emory,,200,
DSHS Amarillo 3407 Pony Express Way,,Amarillo,,400,
"BSA Hospital, LLC EMS 615 West US Hwy 60",,Canyon,,200,
United Pharmacy 532 201 N 23rd St,,Canyon,,100,
Reagan Memorial Hospital 1300 N. Main Street,,Big Lake,,100,
Canyon Health Center 700 Frio St.,,Camp Wood,,100,
Rolling Hills Health 121 Oak Hill Dr,,Leakey,,100,
"Prmc Healthcare Group, Inc - Clarksville 201 S Walnut St",,Clarksville,,100,
Refugio County Memorial Hospital District 107 Swift St,,Refugio,,200,
Wilson Drug 118 W 4th St,,Hearne,,100,
Rockwall Fire Department 305 E. Boydstun Ave.,,Rockwall,,"1,000",
Rockwall County Health Authority 1010 W Ralph Hall Pkwy,,Rockwall,,"1,000",
The Health Center Of Helping Hands 401 W Rusk St Ste 100,,Rockwall,,"1,000",
DSHS Ballinger 2017 Hutchins Avenue,,Ballinger,,100,
North Runnels Hospital District 7821 Hwy 153,,Winters,,200,
Texas Department of Criminal Justice EAST TX ISF 900 Industrial Drive,,Henderson,,100,
Kroger Pharmacy 490 2415 Us Highway 79 S,,Henderson,,100,
Sabine County Hospital 2301 Worth St,,Hemphill,,200,
Hope Community Medicine-San Augustine 109 E Main St,,San Augustine,,200,
Brookshires Pharmacy 72 - Coldspring 14761 Hwy 150 West,,Coldspring,,100,
Bay Area Dialysis Aransas Pass 709 S. Commercial St.,,Aransas Pass,,100,
Lhd San Patricio Co Dept Of Health (Re) 313 N. Rachal,,Sinton,,700,
Baylor Scott and White Healthcare 2005 W. Wallace,,San Saba,,100,
Schleicher County Family Clinic 100 N Us Highway 277,,Eldorado,,200,
Scurry County Health Unit 911 26th St,,Snyder,,100,
Cogdell Family Clinic 1700 Cogdell Blvd,,Snyder,,100,
Resource Care Albany Hq 725 Pate St Ste 100,,Albany,,100,
Hope Community Medicine-Center 620 Tenaha St,,Center,,100,
Hope Community Medicine-Tenaha 157 Wall St,,Tenaha,,100,
Stratford Family Medical Clinic,Po Box 1189,Stratford,,100,
Watson Wise Dialysis,815 East First Street,Tyler,,100,
UTHealth Tyler Hospital,1000 South Beckham Avenue,Tyler,,200,
DSHS PHR 4/5N HQ - Tyler (RE),2521 W Front St,Tyler,,"1,000",
Glen Rose Medical Center,1021 Holden St,Glen Rose,,300,
Starr County,100 N FM 3167,Rio Grande City,,"1,000",
Family Health Center Llp,2768 Pharmacy Rd,Rio Grande City,,"1,000",
Breckenridge Medical Center,101 S. Hartford,Breckenridge,,200,
Stonewall Memorial Hospital,821 N Broadway St,Aspermont,,100,
Lillian M Hudspeth Memorial Hospital,308 Hudspeth St,Sonora,,100,
Swisher Memorial Healthcare System,539 Se 2nd St,Tulia,,100,
Encompass Health Rehabilitation Hospital Of Arlington,3200 Matlock Rd,Arlington,,100,
Oak Street Health,4801 S Cooper St #401,Arlington,,100,
Dshs Hsr 2/3 Hq - Arlington (Re),1301 S Bowen Rd,Arlington,,500,
Encompass Health Rehab Hospital of the Mid-Cities,2304 State Highway 121,Bedford,,200,
Metropolitan Area EMS Authority,2900 Alta Mere Drive,Fort Worth,,500,
Encompass Health Rehabilitation Hospital City View,6701 Oakmont Blvd,Fort Worth,,100,
Jps Hospital,1500 South Main St,Fort Worth,,"3,510",
Lifecare Hospital Fort Worth - Fort Worth,6201 Overton Ridge Blvd,Fort Worth,,100,
Texas Department of Criminal Justice MIDDLETON,13055 FM 3522,Abilene,,100,
"Bio- Medical Applications of Texas, Inc",1802 Pine Street,Abilene,,100,
South Plains Public Health District - Brownfield,919 E Main St.,Brownfield,,200,
Throckmorton Rural Health Clinic,802 N Minter Ave Ste B,Throckmorton,,100,
Renal Care Group Texas Inc DBA Mt. Pleasant Dialysis,628 S. Jefferson Ave,Mount Pleasant,,100,
Titus Regional Medical Center,2001 North Jefferson,Mount Pleasant,,400,
San Angelo Health Department,2030 Pulliam St Ste 8,San Angelo,,200,
Communitycare Arch,500 E 7th St,Austin,,200,
CommUnityCare Sandra Joy Anderson,1705 E 11th St,Austin,,200,
Communitycare William Cannon,6801 S IH 35 Frontage Rd,Austin,,200,
Fresenius Medical Care,12221 Renfert Way,Austin,,100,
Carousel Pediatrics Wm Cannon,6425 S Interstate 35 Ste 100,Austin,,100,
Communitycare Hornsby Bend Health Center,14312 Hunters Bend Rd,Austin,,200,
Communitycare North Central,1210 W Braker Ln,Austin,,200,
Communitycare Rundberg,825 E Rundberg Ln Ste B1,Austin,,300,
Communitycare- South Austin,2529 S 1st St,Austin,,200,
Lone Star Circle Of Care At Collinfield,8913 Collinfield Dr Unit 1,Austin,,100,
Lone Star Circle Of Care At El Buen Samaritano,7000 Woodhue Dr,Austin,,200,
Lone Star Circle Of Care Ben White,1221 W Ben White Blvd # B100,Austin,,100,
Lscc Fam Care Ctr Nw Fp,11111 Research Blvd Ste 320,Austin,,100,
People's Community Clinic - Austin 2,1101 Camino La Costa Ste 100,Austin,,100,
BSWIR JV,2000 Medical Drive,Austin,,200,
Encompass Health Of Austin,330 West Ben White Blvd,Austin,,100,
Seton Medical Center Austin,1201 W 38th St,Austin,,"3,000",
Refugee Services - Austin 1,1000 Toyath St,Austin,,200,
Communitycare South East Health And Wellness Clinic,2901 Montopolis Dr,Austin,,200,
AUSTIN EAR NOSE AND THROAT CLINIC,4315 JAMES CASEY,Austin,,500,
Toth Enterprises Ii Victory Medical And Family Care,4303 Victory Dr,Austin,,100,
Wellmed Ben White,706 W. Ben White Bldg. A,Austin,,400,
Communitycare - Del Valle,3518 Fm 973 Ste A,Del Valle,,200,
Manor Pharmacy,14008 Shadowglen Blvd,Manor,,100,
DSHS CENTRAL PHARMACY WAREHOUSE,1111 NORTH LOOP,Austin,,"6,100",
Healthpoint Trinity,315 Prospect Dr,Trinity,,200,
Tyler County Hospital Family Medical Clinic,104 N Beech St,Woodville,,500,
The Med-Shop Pharmacy,825 US HWY 271 N.,Gilmer,,100,
Rankin County Hospital District,1611 Spur 576,Rankin,,100,
Emergency Operations Center,1051 West 10th,Del Rio,,500,
Christus Trinity Clinic Of Canton,18780 I20 Service Road,Canton,,300,
Brookshires Pharmacy 033,205 W Frank St,Grand Saline,,100,
Sam Houston State University - Student Health Center,1608 Avenue J,Huntsville,,100,
Texas Department of Criminal Justice ELLIS,1697 FM 980,Huntsville,,100,
Texas Department of Criminal Justice ESTELLE,264 FM 3478,Huntsville,,100,
Texas Department of Criminal Justice Huntsville,815 12th Street,Huntsville,,100,
Brookshires Pharmacy 33 - Huntsville,2601 11th St,Huntsville,,100,
Kroger Pharmacy 145,223 Interstate 45 S,Huntsville,,200,
Huntsville Family Medicine - Huntsville 2,123 Medical Park Ln Ste A,Huntsville,,300,
Ft Bend Family Hlth Ctr Accesshealth - Brookshire,533 Fm 359 S,Brookshire,,200,
Ward Memorial Hospital,406 S Gary Ave,Monahans,,200,
HEB Pharmacy 584,306 N Mechanic St,El Campo,,200,
Midcoast Medical Clinic,305 Sandy Corner Rd Ste 120,El Campo,,200,
Shamrock General Hospital,1000 S Main St,Shamrock,,100,
Hyland's Pharmacy,1814 Bill Mack Rd,Shamrock,,100,
Texas Department of Criminal Justice Allred,2101 FM 369 N,Iowa Park,,100,
Fresenius Medical Care,1600 9th Street,Wichita Falls,,100,
LHD Wichita Falls-Wichita CO PH Dist (RE),1700 3rd Street,Wichita Falls,,700,
Wilbarger General Hospital,920 Hillcrest Dr,Vernon,,200,
Su Clinica - Raymondville,131 Fm 3168,Raymondville,,100,
Lone Star Circle Of Care At Cedar Park,1401 Medical Pkwy Ste 311 Bldg B,Cedar Park,,200,
Family Health And Wellness At Lake Aire,2423 Williams Dr,Georgetown,,100,
Lake Aire Med Ctr Sr Health Wellnes,2423 Williams Dr Ste 113,Georgetown,,100,
Lscc Tamu Hlth Science Ctr Family Hlth,3950 N A W Grimes Blvd # 301,Round Rock,,100,
Seton Circle Of Care Senior Health,3950 N A W Grimes Blvd # 104,Round Rock,,100,
Encompass Health of Round Rock,1400 Hesters Crossing Rd,Round Rock,,200,
Pam Rehabilitation Hospital Of Round Rock,351 Seton Parkway,Round Rock,,200,
Wcchd Round Rock,355 Texas Ave.,Round Rock,,"1,600",
Curative Medical Associates PA,1608 Royston Lane,Round Rock,,"2,000",
Lone Star Circle Care Taylor Hlth Ctr,601 Mallard Ln Ste A,Taylor,,100,
Connally Memorial Medical Center,499 10th St,Floresville,,600,
Winkler County Rural Health Clinic,828 Myer Ln,Kermit,,200,
Wise Health System,609 Medical Center Dr,Decatur,,"1,170",
Brookshire's Pharmacy 015,1478 N Beaulah St,Hawkins,,100,
Brookshires Pharmacy 031,1224 N Pacific St,Mineola,,100,
South Plains Public Health District - Denver City,415 Mustang Dr,Denver City,,200,
Graham Regional Medical Center,1301 Montgomery Rd,Graham,,300,
Olney Hamilton Hospital District,901 W Hamilton St,Olney,,200,
Zapata Primary Care - Zapata 1,105 S Us Highway 83,Zapata,,300,
Chldns Cl Dimmit& Zavala Pa,1313 Veterans Ave Ste C,Crystal City,,100,
